Data;Hora;Liquidação;Descrição;Valor (U$);Saldo da conta (U$)
30/11/2020;14:20;30/11/2020;Câmbio Instantâneo : R$99.62;18.05;18.05
30/11/2020;14:32;02/12/2020;Corretagem PYPL;-1.00;17.05
30/11/2020;14:32;02/12/2020;Compra de 0.047 PYPL a $ 212.14;-9.97;7.08
30/11/2020;14:32;02/12/2020;Compra de 0.0285 PYPL a $ 212.19;-6.05;1.03
30/11/2020;14:32;02/12/2020;Corretagem PYPL;-1.00;0.03
03/12/2020;17:15;04/12/2020;Câmbio Padrão : R$99.62;19.02;19.05
04/12/2020;11:33;08/12/2020;Corretagem SRC;-1.00;18.05
04/12/2020;11:33;08/12/2020;Compra de 0.4692 SRC a $ 38.27;-17.96;0.09
16/12/2020;10:05;16/12/2020;Câmbio Instantâneo : R$99.63;19.02;19.11
16/12/2020;11:34;18/12/2020;Compra de 0.2661 WPC a $ 71.47;-19.02;0.09
18/12/2020;11:33;18/12/2020;Câmbio Instantâneo : R$189.63;36.23;36.32
18/12/2020;11:48;22/12/2020;Compra de 0.515 NHI a $ 70.21;-36.16;0.16
21/12/2020;11:31;21/12/2020;Câmbio Instantâneo : R$159.05;30.03;30.19
21/12/2020;11:33;23/12/2020;Compra de 0.0204 T a $ 29.04;-0.59;29.60
21/12/2020;11:33;23/12/2020;Compra de 1 T a $ 29.04;-29.04;0.56
22/12/2020;14:05;22/12/2020;Câmbio Instantâneo : R$125.52;23.72;24.28
22/12/2020;14:07;24/12/2020;Compra de 0.1726 WPC a $ 69.82;-12.05;12.23
22/12/2020;14:07;24/12/2020;Compra de 0.306 SRC a $ 39.73;-12.16;0.07
22/12/2020;14:08;24/12/2020;Venda de 0.0755 PYPL a $ 240.9;18.19;18.26
22/12/2020;14:10;24/12/2020;Compra de 0.1568 T a $ 28.57;-4.48;13.78
22/12/2020;14:10;24/12/2020;Compra de 0.1127 SRC a $ 39.77;-4.48;9.30
22/12/2020;14:10;24/12/2020;Compra de 0.064 WPC a $ 69.76;-4.46;4.84
22/12/2020;14:11;24/12/2020;Compra de 0.1687 T a $ 28.57;-4.82;0.02
28/12/2020;09:16;28/12/2020;Câmbio Instantâneo : R$62.76;11.83;11.85
28/12/2020;11:47;30/12/2020;Corretagem OKE;-1.00;10.85
28/12/2020;11:47;30/12/2020;Compra de 0.2756 OKE a $ 38.92;-10.73;0.12
29/12/2020;11:36;29/12/2020;Câmbio Instantâneo : R$28.21;5.31;5.43
29/12/2020;11:40;31/12/2020;Compra de 0.114 OKE a $ 38.57;-4.40;1.03
29/12/2020;11:40;31/12/2020;Corretagem OKE;-1.00;0.03
